"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","561","Login with correct email and password","LMS","Fri Jan 23 14:59:22 UTC 2026","passed","Fri Jan 23 14:59:22 UTC 2026","Login","Authentication","",""
"","1080","Get file with incorrect file id","LMS","Fri Jan 23 14:59:27 UTC 2026","passed","Fri Jan 23 14:59:28 UTC 2026","Validate entity","Files","",""
"","11","Get user me","LMS","Fri Jan 23 14:59:30 UTC 2026","passed","Fri Jan 23 14:59:30 UTC 2026","Get entity","Users","",""
"","309","Update exercise","LMS","Fri Jan 23 14:59:23 UTC 2026","passed","Fri Jan 23 14:59:23 UTC 2026","Update entity","Exercises","",""
"","1698","Update course","LMS","Fri Jan 23 14:59:23 UTC 2026","passed","Fri Jan 23 14:59:25 UTC 2026","Update entity","Courses","",""
"","322","Get exercises","LMS","Fri Jan 23 14:59:23 UTC 2026","passed","Fri Jan 23 14:59:23 UTC 2026","Get entities","Exercises","",""
"","302","Get exercise","LMS","Fri Jan 23 14:59:25 UTC 2026","passed","Fri Jan 23 14:59:25 UTC 2026","Get entity","Exercises","",""
"","325","Create exercise","LMS","Fri Jan 23 14:59:23 UTC 2026","passed","Fri Jan 23 14:59:23 UTC 2026","Create entity","Exercises","",""
"","17","Create file with empty filename","LMS","Fri Jan 23 14:59:29 UTC 2026","passed","Fri Jan 23 14:59:29 UTC 2026","Validate entity","Files","",""
"","543","Create user","LMS","Fri Jan 23 14:59:28 UTC 2026","passed","Fri Jan 23 14:59:29 UTC 2026","Create entity","Users","",""
"","29","Get file","LMS","Fri Jan 23 14:59:27 UTC 2026","passed","Fri Jan 23 14:59:27 UTC 2026","Get entity","Files","",""
"","31","Create file with empty directory","LMS","Fri Jan 23 14:59:27 UTC 2026","passed","Fri Jan 23 14:59:27 UTC 2026","Validate entity","Files","",""
"","59","Get courses","LMS","Fri Jan 23 14:59:23 UTC 2026","passed","Fri Jan 23 14:59:23 UTC 2026","Get entities","Courses","",""
"","864","Create course","LMS","Fri Jan 23 14:59:25 UTC 2026","passed","Fri Jan 23 14:59:26 UTC 2026","Create entity","Courses","",""
"","1342","Create user","LMS","Fri Jan 23 14:59:27 UTC 2026","passed","Fri Jan 23 14:59:28 UTC 2026","Create entity","Users","",""
"","1127","Create file","LMS","Fri Jan 23 14:59:26 UTC 2026","passed","Fri Jan 23 14:59:27 UTC 2026","Create entity","Files","",""
"","41","Delete exercise","LMS","Fri Jan 23 14:59:27 UTC 2026","passed","Fri Jan 23 14:59:27 UTC 2026","Delete entity","Exercises","",""
"","1340","Create user","LMS","Fri Jan 23 14:59:27 UTC 2026","passed","Fri Jan 23 14:59:28 UTC 2026","Create entity","Users","",""
"","22","Delete file","LMS","Fri Jan 23 14:59:29 UTC 2026","passed","Fri Jan 23 14:59:29 UTC 2026","Delete entity","Files","",""
