"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","580","Create user","LMS","Tue Jan 13 11:55:17 UTC 2026","passed","Tue Jan 13 11:55:17 UTC 2026","Create entity","Users","",""
"","817","Get user me","LMS","Tue Jan 13 11:55:19 UTC 2026","passed","Tue Jan 13 11:55:20 UTC 2026","Get entity","Users","",""
"","580","Update exercise","LMS","Tue Jan 13 11:55:14 UTC 2026","passed","Tue Jan 13 11:55:14 UTC 2026","Update entity","Exercises","",""
"","99","Update course","LMS","Tue Jan 13 11:55:14 UTC 2026","passed","Tue Jan 13 11:55:14 UTC 2026","Update entity","Courses","",""
"","1417","Create user","LMS","Tue Jan 13 11:55:17 UTC 2026","passed","Tue Jan 13 11:55:19 UTC 2026","Create entity","Users","",""
"","580","Get exercises","LMS","Tue Jan 13 11:55:13 UTC 2026","passed","Tue Jan 13 11:55:14 UTC 2026","Get entities","Exercises","",""
"","851","Login with correct email and password","LMS","Tue Jan 13 11:55:11 UTC 2026","passed","Tue Jan 13 11:55:12 UTC 2026","Login","Authentication","",""
"","23","Get file","LMS","Tue Jan 13 11:55:17 UTC 2026","passed","Tue Jan 13 11:55:17 UTC 2026","Get entity","Files","",""
"","317","Delete file","LMS","Tue Jan 13 11:55:18 UTC 2026","passed","Tue Jan 13 11:55:19 UTC 2026","Delete entity","Files","",""
"","372","Create course","LMS","Tue Jan 13 11:55:14 UTC 2026","passed","Tue Jan 13 11:55:15 UTC 2026","Create entity","Courses","",""
"","1138","Delete exercise","LMS","Tue Jan 13 11:55:17 UTC 2026","passed","Tue Jan 13 11:55:18 UTC 2026","Delete entity","Exercises","",""
"","1653","Create file","LMS","Tue Jan 13 11:55:15 UTC 2026","passed","Tue Jan 13 11:55:17 UTC 2026","Create entity","Files","",""
"","802","Create user","LMS","Tue Jan 13 11:55:19 UTC 2026","passed","Tue Jan 13 11:55:20 UTC 2026","Create entity","Users","",""
"","291","Create file with empty filename","LMS","Tue Jan 13 11:55:16 UTC 2026","passed","Tue Jan 13 11:55:17 UTC 2026","Validate entity","Files","",""
"","316","Get exercise","LMS","Tue Jan 13 11:55:17 UTC 2026","passed","Tue Jan 13 11:55:17 UTC 2026","Get entity","Exercises","",""
"","55","Get courses","LMS","Tue Jan 13 11:55:13 UTC 2026","passed","Tue Jan 13 11:55:13 UTC 2026","Get entities","Courses","",""
"","18","Get file with incorrect file id","LMS","Tue Jan 13 11:55:20 UTC 2026","passed","Tue Jan 13 11:55:20 UTC 2026","Validate entity","Files","",""
"","327","Create exercise","LMS","Tue Jan 13 11:55:13 UTC 2026","passed","Tue Jan 13 11:55:13 UTC 2026","Create entity","Exercises","",""
"","539","Create file with empty directory","LMS","Tue Jan 13 11:55:19 UTC 2026","passed","Tue Jan 13 11:55:20 UTC 2026","Validate entity","Files","",""
