"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2053","Get file with incorrect file id","LMS","Mon Jan 12 12:27:00 UTC 2026","passed","Mon Jan 12 12:27:02 UTC 2026","Validate entity","Files","",""
"","2028","Create file with empty directory","LMS","Mon Jan 12 12:26:46 UTC 2026","passed","Mon Jan 12 12:26:48 UTC 2026","Validate entity","Files","",""
"","13","Get exercises","LMS","Mon Jan 12 12:26:18 UTC 2026","passed","Mon Jan 12 12:26:18 UTC 2026","Get entities","Exercises","",""
"","15","Update exercise","LMS","Mon Jan 12 12:26:04 UTC 2026","passed","Mon Jan 12 12:26:04 UTC 2026","Update entity","Exercises","",""
"","16","Get courses","LMS","Mon Jan 12 12:25:36 UTC 2026","passed","Mon Jan 12 12:25:36 UTC 2026","Get entities","Courses","",""
"","4276","Create file","LMS","Mon Jan 12 12:26:23 UTC 2026","passed","Mon Jan 12 12:26:27 UTC 2026","Create entity","Files","",""
"","9","Get file","LMS","Mon Jan 12 12:26:34 UTC 2026","passed","Mon Jan 12 12:26:34 UTC 2026","Get entity","Files","",""
"","14","Create exercise","LMS","Mon Jan 12 12:25:50 UTC 2026","passed","Mon Jan 12 12:25:50 UTC 2026","Create entity","Exercises","",""
"","18","Create course","LMS","Mon Jan 12 12:25:43 UTC 2026","passed","Mon Jan 12 12:25:43 UTC 2026","Create entity","Courses","",""
"","16","Update course","LMS","Mon Jan 12 12:25:29 UTC 2026","passed","Mon Jan 12 12:25:29 UTC 2026","Update entity","Courses","",""
"","11","Get exercise","LMS","Mon Jan 12 12:25:57 UTC 2026","passed","Mon Jan 12 12:25:57 UTC 2026","Get entity","Exercises","",""
"","15","Delete file","LMS","Mon Jan 12 12:26:55 UTC 2026","passed","Mon Jan 12 12:26:55 UTC 2026","Delete entity","Files","",""
"","2200","Create user","LMS","Mon Jan 12 12:27:02 UTC 2026","passed","Mon Jan 12 12:27:05 UTC 2026","Create entity","Users","",""
"","2204","Login with correct email and password","LMS","Mon Jan 12 12:25:20 UTC 2026","passed","Mon Jan 12 12:25:23 UTC 2026","Login","Authentication","",""
"","2064","Create file with empty filename","LMS","Mon Jan 12 12:26:39 UTC 2026","passed","Mon Jan 12 12:26:41 UTC 2026","Validate entity","Files","",""
"","2038","Get user me","LMS","Mon Jan 12 12:27:14 UTC 2026","passed","Mon Jan 12 12:27:16 UTC 2026","Get entity","Users","",""
"","15","Delete exercise","LMS","Mon Jan 12 12:26:11 UTC 2026","passed","Mon Jan 12 12:26:11 UTC 2026","Delete entity","Exercises","",""
"","2217","Create user","LMS","Mon Jan 12 12:27:07 UTC 2026","passed","Mon Jan 12 12:27:09 UTC 2026","Create entity","Users","",""
"","2228","Create user","LMS","Mon Jan 12 12:27:05 UTC 2026","passed","Mon Jan 12 12:27:07 UTC 2026","Create entity","Users","",""
