"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","600","Create course","LMS","Mon Feb 09 15:33:57 UTC 2026","passed","Mon Feb 09 15:33:57 UTC 2026","Create entity","Courses","",""
"","1394","Create user","LMS","Mon Feb 09 15:33:59 UTC 2026","passed","Mon Feb 09 15:34:00 UTC 2026","Create entity","Users","",""
"","269","Get user me","LMS","Mon Feb 09 15:34:01 UTC 2026","passed","Mon Feb 09 15:34:01 UTC 2026","Get entity","Users","",""
"","52","Delete exercise","LMS","Mon Feb 09 15:33:59 UTC 2026","passed","Mon Feb 09 15:33:59 UTC 2026","Delete entity","Exercises","",""
"","37","Get exercises","LMS","Mon Feb 09 15:33:55 UTC 2026","passed","Mon Feb 09 15:33:55 UTC 2026","Get entities","Exercises","",""
"","1693","Delete file","LMS","Mon Feb 09 15:33:59 UTC 2026","passed","Mon Feb 09 15:34:01 UTC 2026","Delete entity","Files","",""
"","594","Get exercise","LMS","Mon Feb 09 15:33:58 UTC 2026","passed","Mon Feb 09 15:33:59 UTC 2026","Get entity","Exercises","",""
"","49","Update exercise","LMS","Mon Feb 09 15:33:55 UTC 2026","passed","Mon Feb 09 15:33:55 UTC 2026","Update entity","Exercises","",""
"","0","Delete exercise","","Fri Jan 30 06:39:43 UTC 2026","skipped","Fri Jan 30 06:39:43 UTC 2026","","","",""
"","342","Get courses","LMS","Mon Feb 09 15:33:54 UTC 2026","passed","Mon Feb 09 15:33:55 UTC 2026","Get entities","Courses","",""
"","281","Get file with incorrect file id","LMS","Mon Feb 09 15:34:01 UTC 2026","passed","Mon Feb 09 15:34:01 UTC 2026","Validate entity","Files","",""
"","315","Create exercise","LMS","Mon Feb 09 15:33:54 UTC 2026","passed","Mon Feb 09 15:33:55 UTC 2026","Create entity","Exercises","",""
"","294","Create file with empty filename","LMS","Mon Feb 09 15:33:59 UTC 2026","passed","Mon Feb 09 15:33:59 UTC 2026","Validate entity","Files","",""
"","816","Create user","LMS","Mon Feb 09 15:34:01 UTC 2026","passed","Mon Feb 09 15:34:01 UTC 2026","Create entity","Users","",""
"","864","Create file","LMS","Mon Feb 09 15:33:57 UTC 2026","passed","Mon Feb 09 15:33:58 UTC 2026","Create entity","Files","",""
"","812","Create file with empty directory","LMS","Mon Feb 09 15:34:01 UTC 2026","passed","Mon Feb 09 15:34:01 UTC 2026","Validate entity","Files","",""
"","308","Get file","LMS","Mon Feb 09 15:33:59 UTC 2026","passed","Mon Feb 09 15:33:59 UTC 2026","Get entity","Files","",""
"","306","Create user","LMS","Mon Feb 09 15:33:59 UTC 2026","passed","Mon Feb 09 15:33:59 UTC 2026","Create entity","Users","",""
"","362","Update course","LMS","Mon Feb 09 15:33:56 UTC 2026","passed","Mon Feb 09 15:33:57 UTC 2026","Update entity","Courses","",""
"","833","Login with correct email and password","LMS","Mon Feb 09 15:33:53 UTC 2026","passed","Mon Feb 09 15:33:54 UTC 2026","Login","Authentication","",""
